No,Name,Pos,Status,Height,Inches,Random,Weight,Birthdate,Exp,College,Team
,"White, D.J.",CB,ACT,"5'11""",71,0.999178523,193,9/9/1993,3,Georgia Tech,WAS
31,"Whitehead, Jordan",FS,ACT,"5'10""",70,0.998757428,198,3/18/1997,2,Pittsburgh,TB
49,"Fitts, Kylie",LB,ACT,"6'4""",76,0.998464622,260,10/11/1994,2,Utah,CHI
16,"Foster, Robert",WR,ACT,"6'2""",74,0.997771118,196,5/7/1994,2,Alabama,BUF
78,"Villanueva, Alejandro",OT,ACT,"6'9""",81,0.997352504,320,9/22/1988,5,Army,PIT
17,"Rogers, Eli",WR,ACT,"5'10""",70,0.997254664,187,12/23/1992,5,Louisville,PIT
64,"Salako, Victor",OT,ACT,"6'6""",78,0.996756241,322,11/4/1993,1,Oklahoma State,NYG
71,"Murray, Justin",OT,ACT,"6'5""",77,0.996454138,315,4/19/1993,2,Cincinnati,OAK
64,"Roos, Jordan",OG,ACT,"6'3""",75,0.996052575,302,7/6/1993,2,Purdue,SEA
53,"Hunt, Joey",C,ACT,"6'2""",74,0.995487845,299,2/22/1994,3,Texas Christian,SEA
82,"Liggins, Justice",WR,ACT,"6'1""",73,0.995482547,209,12/14/1994,1,Stephen F. Austin St.,LAC
29,"Guice, Derrius",RB,ACT,"5'11""",71,0.994738309,225,6/21/1997,2,LSU,WAS
65,"Crosby, Tyrell",OG,ACT,"6'4""",76,0.994469843,309,9/5/1995,2,Oregon,DET
70,"Conway, Cody",OT,ACT,"6'6""",78,0.993795773,307,7/9/1996,0,Syracuse,TEN
40,"Wade, D'Montre",DB,ACT,"5'11""",71,0.991855407,206,12/22/1994,1,Murray State,KC
52,"Lee, Marquel",MLB,ACT,"6'3""",75,0.991831104,235,10/21/1995,3,Wake Forest,OAK
34,"Watt, Derek",FB,ACT,"6'2""",74,0.991716634,234,11/7/1992,4,Wisconsin,LAC
7,"McSorley, Trace",QB,ACT,"6'0""",72,0.991593048,202,8/23/1995,0,Penn State,BAL
15,"Dupre, Malachi",WR,ACT,"6'2""",74,0.990922115,196,10/12/1995,1,LSU,LAC
,"Sickels, Garrett",LB,ACT,"6'4""",76,0.990899265,254,9/24/1994,2,Penn State,WAS
72,"Fisher, Eric",OT,ACT,"6'7""",79,0.990886944,315,1/5/1991,7,Central Michigan,KC
97,"Hoyett, Braxton",DT,ACT,"6'2""",74,0.990830547,302,2/5/1996,0,Mississippi State,TEN
37,"Rice, Denzel",DB,ACT,"6'0""",72,0.99054387,185,3/31/1993,3,Coastal Carolina,BUF
21,"Clinton-Dix, Ha Ha",SS,ACT,"6'1""",73,0.99036337,208,12/21/1992,6,Alabama,CHI
,"Rodgers, Jacquizz",RB,ACT,"5'6""",66,0.990001496,205,2/6/1990,9,Oregon State,NO
75,"Reid, Caraun",DT,ACT,"6'2""",74,0.989442965,292,11/23/1991,6,Princeton,IND
73,"Garcia, Max",OG,ACT,"6'4""",76,0.988927499,309,11/9/1991,5,Florida,ARI
90,"McPhee, Pernell",LB,ACT,"6'3""",75,0.988361725,265,12/17/1988,9,Mississippi State,BAL
13,"Thomas, Michael",WR,ACT,"6'3""",75,0.988301328,212,3/3/1993,4,Ohio State,NO
38,"Nixon, Keisean",DB,ACT,"5'10""",70,0.988256175,200,6/22/1997,0,South Carolina,OAK
70,"Dunn, Michael",OG,ACT,"6'5""",77,0.987979339,307,8/28/1994,1,Maryland,MIA
28,"Diggs, Quandre",DB,ACT,"5'9""",69,0.987758373,200,1/22/1993,5,Texas,DET
81,"Vannett, Nick",TE,ACT,"6'6""",78,0.98713334,261,3/6/1993,4,Ohio State,SEA
27,"McManis, Sherrick",DB,ACT,"6'1""",73,0.986754454,193,12/19/1987,10,Northwestern,CHI
24,"Jones, Josh",DB,ACT,"6'2""",74,0.985933134,220,9/20/1994,3,North Carolina State,GB
58,"Dooley, Garret",LB,ACT,"6'2""",74,0.985765059,248,12/1/1994,1,Wisconsin,DET
23,"Jefferson, Tony",SS,ACT,"5'11""",71,0.985667209,211,1/27/1992,7,Oklahoma,BAL
18,"Brown, Jaron",WR,ACT,"6'3""",75,0.985122896,204,1/8/1990,7,Clemson,SEA
28,"Smallwood, Wendell",RB,ACT,"5'10""",70,0.984850798,208,1/20/1994,4,West Virginia,PHI
38,"Samuels, Jaylen",RB,ACT,"6'0""",72,0.984740075,225,7/20/1996,2,North Carolina State,PIT
90,"Stewart, Grover",DT,ACT,"6'4""",76,0.984588583,315,10/20/1993,3,Albany State (Ga.),IND
46,"Scales, Tegray",LB,ACT,"6'0""",72,0.984565285,227,5/10/1996,1,Indiana,PIT
30,"Jones-Quartey, Harold",DB,ACT,"5'11""",71,0.984423852,210,8/6/1993,3,Findlay,KC
65,"Gaillard, Lamont",C,ACT,"6'3""",75,0.984265102,305,2/8/1996,0,Georgia,ARI
83,"Thomas, Jordan",TE,ACT,"6'5""",77,0.984200568,277,8/2/1996,2,Mississippi State,HOU
15,"Nelson, J.J.",WR,ACT,"5'10""",70,0.98402537,160,4/24/1992,5,Alabama-Birmingham,OAK
60,"Crecelius, Randin",OG,ACT,"6'5""",77,0.983987889,300,8/5/1996,1,Portland,BAL
79,"Williams, Andrew",DT,ACT,"6'4""",76,0.983847282,294,12/31/1995,0,Auburn,JAX
74,"Drango, Spencer",OG,ACT,"6'6""",78,0.983162525,315,10/15/1992,3,Baylor,LAC
11,"Mizzell, Taquan",WR,ACT,"5'10""",70,0.982725552,185,10/21/1993,3,Virginia,CHI
38,"Cox, Chandler",FB,ACT,"6'1""",73,0.982469131,240,7/29/1996,0,Auburn,MIA
13,"Badet, Jeff",WR,ACT,"5'11""",71,0.982374798,182,8/2/1994,1,Oklahoma,MIN
60,"Trewyn, Nate",C,ACT,"6'4""",76,0.982059448,315,5/16/1996,0,Wis.-Whitewater,TB
65,"Davis, Ryan",WR,ACT,"5'9""",69,0.981939232,188,4/12/1997,0,Auburn,NE
76,"Shippy, Sterling",DT,ACT,"5'11""",71,0.98163717,283,8/24/1995,0,Alcorn State,IND
84,"Fumagalli, Troy",TE,ACT,"6'6""",78,0.981263763,248,2/17/1995,2,Wisconsin,DEN
29,"Wilcox, J.J.",DB,RES,"6'0""",72,0.98059938,212,2/14/1991,7,Georgia Southern,ATL
14,"Darnold, Sam",QB,ACT,"6'3""",75,0.980407285,225,6/5/1997,2,USC,NYJ
60,"Glasgow, Graham",C,ACT,"6'6""",78,0.980282807,310,8/19/1992,4,Michigan,DET
17,"Godwin, Terry",WR,ACT,"5'11""",71,0.980160015,185,10/23/1996,0,Georgia,CAR
16,"Williams, Tyrell",WR,ACT,"6'4""",76,0.979878866,205,2/12/1992,5,Western Oregon,OAK
83,"Quick, Brian",WR,ACT,"6'3""",75,0.97981266,215,6/5/1989,8,Appalachian State,WAS
87,"Shaheen, Adam",TE,ACT,"6'6""",78,0.9795433,270,10/24/1994,3,Ashland,CHI
39,"Hunter, Michael",CB,ACT,"6'0""",72,0.979369256,192,4/19/1993,2,Oklahoma State,KC
44,"White, Kyzir",OLB,ACT,"6'2""",74,0.979149921,218,3/24/1996,2,West Virginia,LAC
20,"Collins, Landon",SS,ACT,"6'0""",72,0.977984603,218,1/10/1994,5,Alabama,WAS
31,"Armstrong, Cornell",DB,ACT,"6'0""",72,0.977362537,185,9/22/1995,2,Southern Mississippi,MIA
62,"Easton, Nick",C,ACT,"6'3""",75,0.977329948,303,6/16/1992,5,Harvard,NO
47,"Lewis, Cam",CB,ACT,"5'9""",69,0.977254174,183,4/13/1997,0,Buffalo,BUF
41,"Cunningham, Zach",ILB,ACT,"6'3""",75,0.976329255,238,12/12/1994,3,Vanderbilt,HOU
52,"Grasu, Hroniss",OG,ACT,"6'3""",75,0.976257407,301,8/12/1991,5,Oregon,TEN
61,"Henry, Marcus",C,ACT,"6'2""",74,0.976099019,303,2/11/1993,1,Boise State,NO
78,"Robinson, Greg",OT,ACT,"6'5""",77,0.976075011,330,10/21/1992,6,Auburn,CLE
36,"Teamer, Roderic",DB,ACT,"5'11""",71,0.975825175,187,5/12/1997,0,Tulane,LAC
60,"Haynes, Phil",OG,ACT,"6'4""",76,0.975690911,322,10/19/1995,0,Wake Forest,SEA
92,"Willis, Gerald",DT,ACT,"6'2""",74,0.975530636,302,8/23/1995,0,Miami (Fla.),BAL
95,"Hill, B.J.",DE,ACT,"6'3""",75,0.975418454,311,4/20/1995,2,North Carolina State,NYG
11,"Smith, Torrey",WR,ACT,"6'0""",72,0.975077368,205,1/26/1989,9,Maryland,CAR
73,"Roullier, Chase",C,ACT,"6'4""",76,0.973590584,312,8/23/1993,3,Wyoming,WAS
49,"Robinson, Tyree",DB,ACT,"6'2""",74,0.973465522,202,4/14/1994,1,Oregon,SF
49,"Holder, Alijah",CB,ACT,"6'2""",74,0.973425298,188,1/26/1996,0,Stanford,DEN
46,"Hemingway, Temarrick",TE,ACT,"6'5""",77,0.973008917,245,7/30/1993,3,South Carolina State,CAR
60,"Palmore, Walter",DT,ACT,"6'4""",76,0.972706056,320,8/9/1996,0,Missouri,HOU
96,"Martin, Kareem",OLB,ACT,"6'6""",78,0.972608379,262,2/19/1992,6,North Carolina,NYG
32,"McIntosh, JoJo",DB,ACT,"6'1""",73,0.972580728,205,3/17/1996,0,Washington,WAS
89,"Moore, Jason",WR,ACT,"6'2""",74,0.972536898,213,6/23/1995,0,Findlay,LAC
27,"Fenton, Rashad",DB,ACT,"5'11""",71,0.972302435,188,2/17/1997,0,South Carolina,KC
33,"Holyfield, Elijah",RB,ACT,"5'10""",70,0.971741335,215,//,0,Georgia,CAR
30,"Pitts, Lafayette",CB,ACT,"5'11""",71,0.971691852,195,9/24/1992,4,Pittsburgh,BUF
73,"Greene, Donnell",OT,ACT,"6'5""",77,0.971329385,335,11/9/1995,0,Minnesota,JAX
39,"Reaves, Jeremy",DB,ACT,"5'11""",71,0.97132719,200,8/29/1996,1,South Alabama,WAS
34,"Hardee, Justin",DB,ACT,"6'1""",73,0.971198776,200,2/7/1994,3,Illinois,NO
34,"Ya-Sin, Rock",CB,ACT,"6'0""",72,0.971151875,190,5/23/1996,0,Temple,IND
93,"Jones, Dre'Mont",DE,ACT,"6'3""",75,0.971133302,281,1/5/1997,0,Ohio State,DEN
57,"Mosley, C.J.",ILB,ACT,"6'2""",74,0.970405775,250,6/19/1992,6,Alabama,NYJ
94,"Gooden, Ahmad",LB,ACT,"6'2""",74,0.970230275,245,10/27/1995,0,Samford,DEN
10,"Powell, Brandon",WR,ACT,"5'8""",68,0.97012108,181,9/12/1995,2,Florida,DET
92,"Adeniyi, Ola",LB,ACT,"6'1""",73,0.969012146,248,9/12/1997,2,Toledo,PIT
